title,body,created_at,updated_at,closed_at,state,labels,number,url,milestone,locked,assignee,assignees
Dummy commit to trigger GH actions,,2021-04-21 16:45:04+00:00,2021-04-22 09:19:04+00:00,2021-04-21 17:52:26+00:00,closed,[],2414,https://github.com/gchq/Gaffer/pull/2414,,False,,[]
Test actions,Test PR to make GH actions trigger,2021-04-21 16:42:10+00:00,2021-04-21 16:43:17+00:00,2021-04-21 16:42:53+00:00,closed,[],2413,https://github.com/gchq/Gaffer/pull/2413,,False,,[]
gh-2411 Added swagger endpoint to get graphId,"# Related Issue

- Resolve #2411",2021-04-21 12:39:44+00:00,2021-04-22 15:40:50+00:00,2021-04-22 15:40:46+00:00,closed,[],2412,https://github.com/gchq/Gaffer/pull/2412,,False,,[]
Swagger endpoint to get graphId,"Currently there is a `/graph/config/description` endpoint to get the graph description, but not one for graphId. Would be useful if an endpoint existed for graphId, for cases like https://github.com/gchq/gaffer-experimental/issues/70.",2021-04-14 17:36:59+00:00,2021-04-22 15:40:45+00:00,2021-04-22 15:40:45+00:00,closed,[],2411,https://github.com/gchq/Gaffer/issues/2411,,False,"NamedUser(login=""t92549"")","[NamedUser(login=""t92549"")]"
Allow NamedOperations to reference each other,"At present, you cannot call one NamedOperation from inside another.  This presents a barrier to the re-use of operation chains, requires moderately complex operation chains to be longer and less readable, makes it difficult to propagate changes to commonly used code through a community, and all the other drawbacks that come with a lack of composability.

This restriction is intentional, as it allows us to avoid dealing with thorny issues such as version control of NamedOperations, the impact of propagating changes to an included operation onto the operations which include it, what happens if a user has permissions to only a subset of NamedOperations which comprise a single nested NamedOperation and so on.

However, given the benefits that could be delivered by allowing the nesting of NamedOperations, is it time to revisit this decision?",2021-04-13 10:05:40+00:00,2021-04-14 09:38:03+00:00,,open,[],2410,https://github.com/gchq/Gaffer/issues/2410,"Milestone(title=""v2_backlog"", number=110)",False,,[]
Fix failing serialisation tests,"After fixing some tests in #2408 so that they now fail instead of skip, it seems that some tests fail in serialising JSON. These need to be fixed before #2408 can be merged.",2021-04-12 11:25:45+00:00,2021-04-13 11:05:06+00:00,2021-04-13 11:05:06+00:00,closed,[],2409,https://github.com/gchq/Gaffer/issues/2409,,False,,[]
gh-2364 Fixed typos from assumeTrue to assertTrue,Resolves #2364 ,2021-04-09 14:56:57+00:00,2021-04-13 16:29:38+00:00,2021-04-13 16:29:34+00:00,closed,[],2408,https://github.com/gchq/Gaffer/pull/2408,,False,,[]
gc-2832 update ranged copyright statements,Updated ranged copyright statements,2021-04-06 13:48:45+00:00,2021-04-13 14:33:23+00:00,,open,[],2407,https://github.com/gchq/Gaffer/pull/2407,,False,,[]
gh-2400 update example scripts to use spring boot maven plugin,Update example scripts to use Maven Spring-Boot plugin,2021-04-06 10:44:52+00:00,2021-04-06 10:48:12+00:00,,open,[],2406,https://github.com/gchq/Gaffer/pull/2406,,False,,[]
Renamed CreateSplitPointsIT to Test,This is to allow us to automate the accumulo integration tests. As things stand the CreateSplitPointsIT doesn't use the store.class in the storeProperties which becomes problematic when running in docker on K8s (connections fail when setting up a MiniAccumuloStore). Therefore I've renamed it to CreateSplitPointsTest so that it's run in the test phase rather than the integration test one.,2021-03-02 12:49:05+00:00,2021-03-31 10:56:13+00:00,2021-03-31 10:56:13+00:00,closed,[],2405,https://github.com/gchq/Gaffer/pull/2405,"Milestone(title=""v1.16.0"", number=108)",False,,[]
NamedOperations and Operation Chains do not accept multiple inputs,"The GetElementsBetweenSets operation requires both an input and input_b.

However, if this operation is nested within an operation chain and defined as a named operation there is no way to pass in input_b. 

This addition would be required for future inclusions of operations such as: GetShortestPaths, GetWalksBetween etc. that would require multiple inputs.

The option to provide an input map with multiple input sets/collections might cover this.

Possibly something that would need to wait for v2.",2021-02-25 16:37:30+00:00,2021-04-14 09:37:15+00:00,,open,[],2404,https://github.com/gchq/Gaffer/issues/2404,"Milestone(title=""v2_backlog"", number=110)",False,,[]
Gh 2402 integration test support for multiple rest services,,2021-02-16 10:31:32+00:00,2021-04-15 10:41:20+00:00,,open,[],2403,https://github.com/gchq/Gaffer/pull/2403,"Milestone(title=""v2.0.0"", number=66)",False,,[]
Add support for integration testing between multiple rest services,,2021-02-16 10:25:42+00:00,2021-02-16 10:26:33+00:00,,open,[],2402,https://github.com/gchq/Gaffer/issues/2402,"Milestone(title=""v2.0.0"", number=66)",False,"NamedUser(login=""m29827"")","[NamedUser(login=""m29827"")]"
Gh 2375 proxy store should ignore unsupported operations,,2021-02-04 13:11:50+00:00,2021-02-17 15:01:44+00:00,2021-02-17 15:01:44+00:00,closed,[],2401,https://github.com/gchq/Gaffer/pull/2401,,False,,[]
Fix scripts in demos,Demo scripts in develop-v2 are out of date with the changes to the codebase. Update these so they work as before.,2021-02-03 10:55:17+00:00,2021-04-06 10:32:48+00:00,,open,"[Label(name=""p:low"")]",2400,https://github.com/gchq/Gaffer/issues/2400,"Milestone(title=""v2.0.0"", number=66)",False,"NamedUser(login=""javadev001001"")","[NamedUser(login=""javadev001001"")]"
Gh 2201 upgrade accumulo version to 2.x.x,,2021-02-03 09:15:58+00:00,2021-04-07 17:52:53+00:00,,open,[],2399,https://github.com/gchq/Gaffer/pull/2399,"Milestone(title=""v2.0.0"", number=66)",False,,[]
gh-2397 Updated timeout to ten minutes,,2021-02-02 14:52:35+00:00,2021-03-31 12:36:47+00:00,2021-03-31 12:36:15+00:00,closed,[],2398,https://github.com/gchq/Gaffer/pull/2398,"Milestone(title=""v1.16.0"", number=108)",False,,[]
Remote staging failing consistently,Gaffer is failing to complete the staging requirements usually by less than a minute. To fix this update the timeout in the plugin,2021-02-02 14:52:01+00:00,2021-03-31 12:37:59+00:00,2021-03-31 12:37:39+00:00,closed,"[Label(name=""automation"")]",2397,https://github.com/gchq/Gaffer/issues/2397,"Milestone(title=""v1.16.0"", number=108)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]"
Gh 2201 upgrade accumulo version to 2.x.x,,2021-01-28 18:26:11+00:00,2021-01-28 22:22:38+00:00,2021-01-28 22:22:38+00:00,closed,[],2396,https://github.com/gchq/Gaffer/pull/2396,,False,,[]
ProxyStore remove the Switch statement,"Recursion of the opChain is no longer required and adds complexity.

doOperation -> Unprocessed Logic -> ResolvedLogice -> ToHandlers OR ToProxy
",2021-01-28 14:57:23+00:00,2021-01-28 14:57:23+00:00,,open,[],2395,https://github.com/gchq/Gaffer/issues/2395,,False,"NamedUser(login=""GCHQDev404"")","[NamedUser(login=""GCHQDev404"")]"
Investigate federated store bug,,2021-01-28 14:46:35+00:00,2021-01-28 15:45:34+00:00,2021-01-28 15:45:34+00:00,closed,[],2394,https://github.com/gchq/Gaffer/pull/2394,,False,,[]
gh-2008 bugfix,"

# Related Issue

- Resolve #2008",2021-01-28 13:02:21+00:00,2021-01-28 15:45:52+00:00,2021-01-28 15:45:51+00:00,closed,[],2393,https://github.com/gchq/Gaffer/pull/2393,,False,,[]
gh-2391 Add classifier,Fixes #2391 #2388 #2390 #2389 #2387 #2386,2021-01-28 12:42:30+00:00,2021-01-28 17:36:03+00:00,2021-01-28 17:36:03+00:00,closed,[],2392,https://github.com/gchq/Gaffer/pull/2392,,False,,[]
Classifier should be added to spring-rest api,"To release the original jar as well as the executable one, a classifier should be added to the spring boot plugin when generating the executable jar.",2021-01-28 12:39:52+00:00,2021-01-28 17:36:02+00:00,2021-01-28 17:36:02+00:00,closed,"[Label(name=""enhancement""), Label(name=""rest-api"")]",2391,https://github.com/gchq/Gaffer/issues/2391,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]"
Proxy Store should be able to send operations to the spring-rest,The proxy store struggles to send messages to the spring-rest api. This is because of the default headers that are sent with the request.,2021-01-28 12:32:32+00:00,2021-01-28 17:36:03+00:00,2021-01-28 17:36:03+00:00,closed,"[Label(name=""bug""), Label(name=""proxy-store""), Label(name=""rest-api"")]",2390,https://github.com/gchq/Gaffer/issues/2390,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]"
Spring rest api doesn't return helpful error messages when JSON is invalid,"When invalid json is provided, the Spring boot REST API just returns 400 without explanation. It should return the error much like the core-rest api does.",2021-01-28 12:30:50+00:00,2021-01-28 17:36:02+00:00,2021-01-28 17:36:02+00:00,closed,"[Label(name=""bug""), Label(name=""rest-api"")]",2389,https://github.com/gchq/Gaffer/issues/2389,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]"
Proxy Store should be able to target non /v2 endpoints,"The proxy store is designed to work against the core-rest project which statically sets the v2 rest api on /v2 or /latest. The spring-rest api though allows you to dynamically set the context path. The ProxyStore should be able to target these. For backwards compatibility, the default should still be /rest/v2 but should not force the context root to end with v2 as it does now.",2021-01-28 12:29:10+00:00,2021-01-28 17:36:02+00:00,2021-01-28 17:36:02+00:00,closed,"[Label(name=""enhancement""), Label(name=""proxy-store""), Label(name=""rest-api"")]",2388,https://github.com/gchq/Gaffer/issues/2388,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]"
Allow spring-rest to be used by multiple stores with standard libraries,"Trying to bundle in store dependencies manually can be challenging because of the custom exclude / include rules that exist on each of the stores. If the stores were just included by default, it would save time and complexity. 

We may encounter issues in future with this though as there may be clashing dependencies between the stores. For now though, it seems possible to include all the stores without issue.",2021-01-28 12:26:02+00:00,2021-01-28 17:36:02+00:00,2021-01-28 17:36:02+00:00,closed,"[Label(name=""enhancement""), Label(name=""question""), Label(name=""rest-api"")]",2387,https://github.com/gchq/Gaffer/issues/2387,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]"
Spring rest only returns results if Accept: application/json is set,"Spring Rest only returns results if the header Accept: application/json header is set. If using Accept */* for example, it fails with an Unacceptable error",2021-01-28 12:15:48+00:00,2021-01-28 17:36:02+00:00,2021-01-28 17:36:02+00:00,closed,"[Label(name=""bug""), Label(name=""rest-api"")]",2386,https://github.com/gchq/Gaffer/issues/2386,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]"
Dont merge,,2021-01-25 19:35:51+00:00,2021-01-26 13:51:36+00:00,2021-01-26 13:50:35+00:00,closed,[],2385,https://github.com/gchq/Gaffer/pull/2385,,False,,[]
Gh 2383 replace mock accumulo store,"This PR includes the changes to implement the visibility trait in the MapStore and therefore resolves #801 if merged. 
The gchq/gaffer-tools#865 issue has a dependency on this PR.
",2021-01-21 13:54:29+00:00,2021-01-28 16:24:53+00:00,2021-01-28 16:24:52+00:00,closed,[],2384,https://github.com/gchq/Gaffer/pull/2384,,False,,[]
Replace MockAccumuloStore with MapStore,"Replace usage of the deprecated MockAccumloStore in the Road Traffic and Federated Store examples with MapStore.
Related to #1840  ",2021-01-21 08:37:53+00:00,2021-02-03 10:42:52+00:00,2021-02-03 10:42:52+00:00,closed,[],2383,https://github.com/gchq/Gaffer/issues/2383,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""m29827"")","[NamedUser(login=""m29827"")]"
Update copyright to 2021,,2021-01-15 09:43:31+00:00,2021-04-06 11:09:22+00:00,,open,[],2382,https://github.com/gchq/Gaffer/issues/2382,,False,"NamedUser(login=""javadev001001"")","[NamedUser(login=""javadev001001"")]"
Gh 2380 re run release,"

# Related Issue

- Resolve #2380",2021-01-14 11:09:15+00:00,2021-02-02 11:11:38+00:00,2021-02-02 11:11:38+00:00,closed,[],2381,https://github.com/gchq/Gaffer/pull/2381,,False,,[]
Add action to rerun the last release,"If the Maven deploy command fails because of a network issue, it would be handy to have a way of re-running it. Simply re-running the Release workflow won't work because It also does things like create a tag (which can't be created twice). Therefore there should be a workflow that can be triggered by a member of the team to re-run the latest release.",2021-01-14 10:49:56+00:00,2021-02-02 11:11:38+00:00,2021-02-02 11:11:38+00:00,closed,"[Label(name=""automation""), Label(name=""enhancement"")]",2380,https://github.com/gchq/Gaffer/issues/2380,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]"
gh-2378 updated references,"

# Related Issue

- Resolve #2378",2021-01-14 09:42:23+00:00,2021-01-14 09:50:10+00:00,2021-01-14 09:50:06+00:00,closed,[],2379,https://github.com/gchq/Gaffer/pull/2379,,False,,[]
reference to version.properties is out of date,In the CI script the reference to version.properties is in core-rest. It now lives in common-rest,2021-01-14 09:38:48+00:00,2021-01-14 09:50:05+00:00,2021-01-14 09:50:05+00:00,closed,"[Label(name=""automation""), Label(name=""bug"")]",2378,https://github.com/gchq/Gaffer/issues/2378,"Milestone(title=""v1.14.0"", number=102)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]"
FederatedStores cannot connect to other FederatedStores via a proxy,"Specifically, FederatedStores are unable to submit queries containing views. This is because a FederatedStore has no schema by default. Therefore when view validation is run against it, it fails even though the view may be perfectly valid.",2021-01-13 19:24:51+00:00,2021-01-14 09:02:35+00:00,2021-01-14 09:02:35+00:00,closed,"[Label(name=""bug""), Label(name=""federated-store"")]",2377,https://github.com/gchq/Gaffer/issues/2377,"Milestone(title=""v1.14.0"", number=102)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853""), NamedUser(login=""GCHQDev404"")]"
gh-2008 View validation experiment,,2021-01-13 18:23:43+00:00,2021-01-14 09:02:35+00:00,2021-01-14 09:02:35+00:00,closed,[],2376,https://github.com/gchq/Gaffer/pull/2376,,False,,[]
ProxyStore can't initialise if the remote store supports operations not on the classpath of the proxy,"If a remote graph supports operations that the proxy doesn't, the proxy should just ignore them rather than throwing an exception (as is the case currently)",2021-01-13 16:52:58+00:00,2021-03-31 13:30:20+00:00,2021-03-31 13:30:20+00:00,closed,"[Label(name=""enhancement""), Label(name=""proxy-store"")]",2375,https://github.com/gchq/Gaffer/issues/2375,"Milestone(title=""v1.16.0"", number=108)",False,"NamedUser(login=""m29827"")","[NamedUser(login=""m29827"")]"
Update jackson version,,2021-01-13 12:38:20+00:00,2021-01-13 13:11:46+00:00,2021-01-13 13:11:46+00:00,closed,[],2374,https://github.com/gchq/Gaffer/pull/2374,,False,,[]
Overhaul integration tests,,2021-01-12 15:17:11+00:00,2021-01-12 18:24:25+00:00,2021-01-12 18:24:15+00:00,closed,[],2373,https://github.com/gchq/Gaffer/pull/2373,,False,,[]
gh-1754 Filter the final list of Walks returned from GetWalks,…from GetWalks,2021-01-07 18:22:49+00:00,2021-03-30 17:56:32+00:00,2021-03-30 14:59:54+00:00,closed,[],2372,https://github.com/gchq/Gaffer/pull/2372,"Milestone(title=""v1.16.0"", number=108)",False,,[]
gh-2370 JcsCacheService is now reconfigurable ,,2021-01-05 15:18:30+00:00,2021-01-06 16:17:31+00:00,2021-01-06 16:17:31+00:00,closed,[],2371,https://github.com/gchq/Gaffer/pull/2371,,False,,[]
