release_date,release_tag,version,major,no_pkgs,no_classes,cost_usd,cost_month,cost_people,no_langs,lines,loc,comments,complexity,no_deps
2021-02-01,cassandra-3.11.10,3.11.10,3,119,3923,18035495,41.280289,38.81515,20,678560,489814,98264,48475,68
2021-02-01,cassandra-3.0.24,3.0.24,3,100,3424,14715196,38.208955,34.215022,16,559935,403531,83509,43353,60
2020-11-04,cassandra-3.11.9,3.11.9,3,119,3910,17926599,41.185398,38.66968,20,674521,486997,97680,48302,68
2020-11-04,cassandra-3.0.23,3.0.23,3,100,3414,14624234,38.119031,34.083737,16,556522,401155,82997,43197,60
2020-11-04,cassandra-2.2.19,2.2.19,2,91,2943,12277920,35.668224,30.581533,17,466817,339610,68270,38421,61
2020-08-31,cassandra-3.11.8,3.11.8,3,118,3882,17831762,41.102466,38.542715,20,670683,484543,96741,48181,67
2020-08-31,cassandra-3.0.22,3.0.22,3,99,3394,14561618,38.056927,33.993183,16,554052,399519,82440,43138,59
2020-08-31,cassandra-2.2.18,2.2.18,2,90,2925,12230663,35.615994,30.508502,17,465052,338365,67950,38391,60
2020-08-31,cassandra-2.1.22,2.1.22,2,77,2653,10491115,33.598995,27.740308,16,403361,292368,59707,36520,43
2020-07-29,cassandra-3.0.21,3.0.21,3,99,3383,14477817,37.973553,33.871762,16,551175,397329,82210,43068,59
2020-07-24,cassandra-3.11.7,3.11.7,3,118,3865,17731965,41.014901,38.408834,20,667288,481960,96444,48097,67
2020-07-24,cassandra-2.2.17,2.2.17,2,90,2923,12215824,35.599567,30.485546,17,464576,337974,67941,38380,60
2020-02-14,cassandra-2.2.16,2.2.16,2,91,2921,12222010,35.606416,30.495117,17,465108,338137,68233,38444,56
2020-02-14,cassandra-3.0.20,3.0.20,3,100,3366,14390789,37.88665,33.74538,16,548310,395054,81984,42996,55
2020-02-14,cassandra-3.11.6,3.11.6,3,119,3848,17631770,40.926679,38.27413,20,664053,479366,96207,48008,62
2019-10-29,cassandra-3.11.5,3.11.5,3,118,3825,17467862,40.781685,38.053141,20,658896,475121,95978,47664,62
2019-10-29,cassandra-3.0.19,3.0.19,3,99,3351,14307800,37.803478,33.624594,16,545844,392884,82051,42873,55
2019-10-29,cassandra-2.2.15,2.2.15,2,90,2909,12186641,35.567226,30.440372,17,464233,337205,68503,38386,56
2019-02-11,cassandra-2.1.21,2.1.21,2,77,2652,10488666,33.596014,27.736293,16,403279,292303,59704,36519,43
2019-02-11,cassandra-2.2.14,2.2.14,2,86,2889,12065429,35.432379,30.252298,16,459403,334010,67395,38155,56
2019-02-11,cassandra-3.0.18,3.0.18,3,95,3309,14078765,37.57237,33.289854,15,537128,386892,80390,42451,55
2019-02-11,cassandra-3.11.4,3.11.4,3,114,3782,17216332,40.55753,37.712477,19,649524,468603,94269,47225,62
2018-07-31,cassandra-3.11.3,3.11.3,3,113,3752,17073010,40.428897,37.51752,19,644290,464887,93415,46937,62
2018-07-31,cassandra-3.0.17,3.0.17,3,94,3279,13940710,37.431939,33.087085,15,532009,383278,79544,42168,55
2018-07-31,cassandra-2.2.13,2.2.13,2,85,2866,11984577,35.341965,30.126449,16,456348,331878,66867,37985,56
2018-02-19,cassandra-3.0.16,3.0.16,3,94,3260,13832230,37.320985,32.927217,15,528401,380437,79265,42049,54
2018-02-19,cassandra-3.11.2,3.11.2,3,112,3735,16953798,40.321392,37.354885,18,640462,461795,93257,46802,62
2018-02-16,cassandra-2.2.12,2.2.12,2,85,2864,11960046,35.314458,30.088201,16,455526,331231,66758,37962,56
2018-02-16,cassandra-2.1.20,2.1.20,2,77,2651,10483579,33.589822,27.727953,16,403072,292168,59664,36512,43
2017-10-10,cassandra-3.11.1,3.11.1,3,112,3711,16805918,40.187382,37.152536,18,635155,457958,92478,46549,61
2017-10-10,cassandra-3.0.15,3.0.15,3,94,3241,13731270,37.217237,32.778004,15,524672,377792,78709,41899,54
2017-10-05,cassandra-2.2.11,2.2.11,2,85,2858,11928807,35.279379,30.039453,16,454388,330407,66585,37911,56
2017-10-05,cassandra-2.1.19,2.1.19,2,77,2648,10457999,33.558653,27.685986,16,402202,291489,59594,36473,43
2017-06-26,cassandra-2.2.10,2.2.10,2,84,2848,11860619,35.202609,29.932875,16,452005,328608,66350,37849,56
2017-06-26,cassandra-2.1.18,2.1.18,2,77,2648,10456567,33.556908,27.683636,16,402158,291451,59594,36471,43
2017-06-23,cassandra-3.11.0,3.11.0,3,111,3673,16517583,39.923971,36.756039,18,624913,450472,91247,45977,61
2017-06-23,cassandra-3.0.14,3.0.14,3,93,3205,13468292,36.944758,32.387366,15,515213,370898,77540,41367,54
2017-04-14,cassandra-3.0.13,3.0.13,3,93,3201,13436266,36.91135,32.339597,15,513972,370058,77288,41323,54
2017-03-10,cassandra-3.0.12,3.0.12,3,93,3200,13404015,36.877658,32.291447,15,512646,369212,77022,41251,54
2017-02-21,cassandra-3.0.11,3.0.11,3,93,3195,13367880,36.839848,32.237447,15,511240,368264,76786,41187,53
2017-02-21,cassandra-2.2.9,2.2.9,2,84,2848,11847089,35.187345,29.911701,16,451485,328251,66260,37831,55
2017-02-21,cassandra-2.1.17,2.1.17,2,77,2648,10452047,33.551394,27.676215,16,402006,291331,59581,36468,43
2017-02-03,cassandra-3.10,3.10,3,111,3654,16347260,39.767029,36.520587,18,618531,446047,90279,45701,60
2016-11-16,cassandra-3.0.10,3.0.10,3,93,3181,13303435,36.772259,32.141003,14,508842,366573,76405,41010,53
2016-10-10,cassandra-2.1.16,2.1.16,2,77,2647,10445492,33.543397,27.665453,15,401743,291157,59524,36450,43
2016-09-29,cassandra-3.9,3.9,3,109,3516,15528057,38.997662,35.37484,17,588017,424733,85246,44144,60
2016-09-29,cassandra-3.8,3.8,3,109,3516,15528057,38.997662,35.37484,17,588017,424733,85246,44144,60
2016-09-27,cassandra-2.2.8,2.2.8,2,84,2843,11802414,35.136863,29.841716,15,449846,327072,66030,37733,55
2016-09-19,cassandra-3.0.9,3.0.9,3,93,3175,13259960,36.726547,32.07584,14,507232,365432,76155,40935,53
2016-07-05,cassandra-2.1.15,2.1.15,2,77,2643,10419577,33.511749,27.622878,15,400737,290469,59404,36398,43
2016-07-05,cassandra-3.0.8,3.0.8,3,93,3164,13099872,36.55742,31.83519,14,501459,361229,75473,40632,52
2016-07-05,cassandra-2.2.7,2.2.7,2,84,2837,11723314,35.047191,29.717557,15,446926,324984,65693,37537,51
2016-06-13,cassandra-3.0.7,3.0.7,3,93,3160,13047025,36.501308,31.755503,14,498408,359841,74067,40513,52
2016-06-13,cassandra-3.7,3.7,3,109,3474,14984871,38.473545,34.60244,15,566283,410571,81307,43534,58
2016-06-06,cassandra-3.6,3.6,3,109,3470,14941454,38.431147,34.540247,15,564531,409438,80861,43488,58
2016-05-13,cassandra-3.0.6,3.0.6,3,93,3156,13003970,36.455489,31.690491,14,496637,358710,73593,40470,52
2016-04-26,cassandra-2.2.6,2.2.6,2,84,2832,11647988,34.961447,29.599026,15,443755,322995,64798,37369,51
2016-04-26,cassandra-2.1.14,2.1.14,2,77,2638,10373630,33.455518,27.547294,15,398858,289249,58927,36307,43
2016-04-13,cassandra-3.5,3.5,3,107,3397,14572563,38.067795,34.009023,15,551273,399805,78901,42749,57
2016-04-11,cassandra-3.0.5,3.0.5,3,93,3155,12984748,36.435003,31.66144,14,495916,358205,73457,40413,52
2016-03-08,cassandra-3.0.4,3.0.4,3,93,3142,12858945,36.300456,31.470901,14,491444,354899,72945,40112,52
2016-03-08,cassandra-3.4,3.4,3,107,3379,14432138,37.927981,33.805463,15,546295,396135,78337,42454,57
2016-02-09,cassandra-3.3,3.3,3,94,3185,12933065,36.379826,31.583247,15,494808,356847,74057,40494,48
2016-02-09,cassandra-3.0.3,3.0.3,3,93,3135,12727610,36.159121,31.271226,14,487050,351446,72589,39960,48
2016-02-08,cassandra-2.2.5,2.2.5,2,84,2827,11505806,34.798662,29.374497,15,438844,319239,64308,37152,51
2016-02-08,cassandra-2.1.13,2.1.13,2,77,2634,10344448,33.419723,27.499222,15,397635,288474,58705,36147,43
2016-01-19,cassandra-3.2.1,3.2.1,3,94,3173,12855444,36.296702,31.465589,15,492011,354807,73711,40349,48
