release_date,release_tag,version,major,no_pkgs,no_classes,cost_usd,cost_month,cost_people,no_langs,lines,loc,comments,complexity,no_deps,no_open_issues,mean_h_close,median_h_close,no_pkgs_diff,no_classes_diff,cost_usd_diff,cost_month_diff,cost_people_diff,no_langs_diff,loc_diff,comments_diff,complexity_diff,no_deps_diff,no_open_issues_diff,mean_h_close_diff,median_h_close_diff
2010-03-13,cassandra-0.5.0,0.5.0,0,21,428,1.5,16.2,8,9,67189,46.6,12.6,6535,,96,399,71,,,,,,,,,,,,,
2010-04-12,cassandra-0.6.0,0.6.0,0,32,462,2.0,18.0,10,12,86932,60.9,15.1,8579,,97,411,72,34.4,7.4,24.5,10.1,16.0,25.0,23.5,16.7,23.8,,1.0,2.9,1.4
2011-01-10,cassandra-0.7.0,0.7.0,0,35,672,3.1,21.1,13,12,126588,90.7,19.9,12882,,181,612,93,8.6,31.2,34.1,14.7,22.8,0.0,32.8,24.1,33.4,,46.4,32.8,22.6
2011-06-02,cassandra-0.8.0,0.8.0,0,41,819,4.7,24.8,17,12,185009,137.1,26.6,16443,34,277,671,89,14.6,17.9,35.2,15.2,23.6,0.0,33.9,25.1,21.7,,34.7,8.8,-4.5
2011-10-18,cassandra-1.0.0,1.0.0,1,46,932,4.4,24.2,16,12,181751,129.1,28.9,17951,34,280,732,91,10.9,12.1,-6.5,-2.4,-4.0,0.0,-6.2,8.2,8.4,0.0,1.1,8.3,2.2
2012-04-24,cassandra-1.1.0,1.1.0,1,47,1001,5.1,25.6,18,12,206527,147.3,32.2,20951,36,389,775,94,2.1,6.9,13.0,5.1,8.2,0.0,12.4,10.0,14.3,5.6,28.0,5.5,3.2
2013-01-02,cassandra-1.2.0,1.2.0,1,54,1274,6.5,28.0,21,12,255113,184.4,38.4,25171,36,426,955,105,13.0,21.4,21.0,8.6,13.6,0.0,20.1,16.3,16.8,0.0,8.7,18.8,10.5
2013-09-03,cassandra-2.0.0,2.0.0,2,63,1941,7.3,29.3,22,12,287291,207.5,43.5,28023,34,414,1213,115,14.3,34.4,11.7,4.6,7.4,0.0,11.1,11.5,10.2,-5.9,-2.9,21.3,8.7
2014-09-16,cassandra-2.1.0,2.1.0,2,75,2441,9.0,31.8,25,14,350897,253.8,52.8,33305,41,612,1422,128,16.0,20.5,19.1,7.7,12.3,14.3,18.2,17.7,15.9,17.1,32.4,14.7,10.2
2015-07-20,cassandra-2.2.0,2.2.0,2,84,2777,11.1,34.4,29,15,426015,309.5,62.8,36470,51,1073,1480,145,10.7,12.1,18.8,7.6,12.1,6.7,18.0,15.9,8.7,19.6,43.0,3.9,11.7
2015-11-09,cassandra-3.0.0,3.0.0,3,93,3097,12.5,35.9,31,14,477835,344.6,71.4,39451,50,1149,1504,155,9.7,10.3,10.7,4.2,6.7,-7.1,10.2,12.0,7.6,-2.0,6.6,1.6,6.5
2015-12-08,cassandra-3.1,3.1,3,93,3109,12.6,36.0,31,14,481495,347.2,71.9,39705,49,1108,1553,163,0.0,0.4,0.8,0.3,0.5,0.0,0.8,0.8,0.6,-2.0,-3.7,3.2,4.9
2016-01-11,cassandra-3.2,3.2,3,94,3173,12.9,36.3,31,15,492000,354.8,73.7,40347,48,1145,1562,165,1.1,2.0,2.3,0.9,1.4,6.7,2.1,2.4,1.6,-2.1,3.2,0.6,1.2
2016-02-09,cassandra-3.3,3.3,3,94,3185,12.9,36.4,32,15,494808,356.8,74.1,40494,48,1144,1566,167,0.0,0.4,0.6,0.2,0.4,0.0,0.6,0.5,0.4,0.0,-0.1,0.3,1.2
2016-03-08,cassandra-3.4,3.4,3,107,3379,14.4,37.9,34,15,546295,396.1,78.3,42454,57,1164,1606,168,12.1,5.7,10.4,4.1,6.6,0.0,9.9,5.5,4.6,15.8,1.7,2.5,0.6
2016-04-13,cassandra-3.5,3.5,3,107,3397,14.6,38.1,34,15,551273,399.8,78.9,42749,57,1132,1761,174,0.0,0.5,1.0,0.4,0.6,0.0,0.9,0.7,0.7,0.0,-2.8,8.8,3.4
2016-06-06,cassandra-3.6,3.6,3,109,3470,14.9,38.4,35,15,564531,409.4,80.9,43488,58,1197,1761,179,1.8,2.1,2.5,0.9,1.5,0.0,2.4,2.4,1.7,1.7,5.4,0.0,2.8
2016-06-13,cassandra-3.7,3.7,3,109,3474,15.0,38.5,35,15,566283,410.6,81.3,43534,58,1220,1760,179,0.0,0.1,0.3,0.1,0.2,0.0,0.3,0.5,0.1,0.0,1.9,-0.1,0.0
2016-09-29,cassandra-3.8,3.8,3,109,3516,15.5,39.0,35,17,588017,424.7,85.2,44144,60,1376,1758,187,0.0,1.2,3.5,1.3,2.2,11.8,3.3,4.6,1.4,3.3,11.3,-0.1,4.3
2016-09-29,cassandra-3.9,3.9,3,109,3516,15.5,39.0,35,17,588017,424.7,85.2,44144,60,1376,1758,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-03,cassandra-3.10,3.10,3,111,3654,16.3,39.8,37,18,618531,446.0,90.3,45701,60,1515,1766,191,1.8,3.8,5.0,1.9,3.1,5.6,4.8,5.6,3.4,0.0,9.2,0.5,2.1
2017-06-23,cassandra-3.11.0,3.11.0,3,111,3673,16.5,39.9,37,18,624913,450.5,91.2,45977,61,1625,1783,195,0.0,0.5,1.0,0.4,0.6,0.0,1.0,1.1,0.6,1.6,6.8,1.0,2.1
