release_date,release_tag,version,major,no_pkgs,no_classes,cost_usd,cost_month,cost_people,no_langs,lines,loc,comments,complexity,no_deps
2021-04-06,gaffer2-1.16.0,1.16.0,1,329,1880,7554686,29.657621,22.630599,15,311765,213853,58805,14882,32
2021-02-02,gaffer2-1.15.0,1.15.0,1,327,1873,7537995,29.632704,22.599587,15,311123,213403,58708,14872,32
2021-01-14,gaffer2-1.14.0,1.14.0,1,326,1865,7507548,29.587165,22.542948,15,310056,212582,58590,14857,32
2020-10-23,gaffer2-1.13.4,1.13.4,1,319,1818,7343843,29.340327,22.236907,15,303225,208165,57260,14801,32
2020-10-20,gaffer2-1.13.3,1.13.3,1,319,1818,7343288,29.339484,22.235864,15,303196,208150,57252,14801,32
2020-09-23,gaffer2-1.13.1,1.13.1,1,319,1818,7358661,29.36281,22.264715,15,303819,208565,57322,14780,32
2020-09-23,gaffer2-1.13.2,1.13.2,1,319,1818,7358772,29.362978,22.264923,15,303822,208568,57322,14780,32
2020-09-10,gaffer2-1.13.0,1.13.0,1,319,1815,7344251,29.340946,22.237672,15,303282,208176,57240,14787,32
2020-05-13,gaffer2-1.12.0,1.12.0,1,312,1781,7239788,29.181653,22.041031,15,299150,205355,56882,14736,32
2020-02-20,gaffer2-1.11.0,1.11.0,1,311,1750,7133214,29.017666,21.839302,15,294986,202475,56340,14661,32
2020-01-15,gaffer2-1.10.5,1.10.5,1,311,1743,7100591,28.967164,21.777322,15,293747,201593,56178,14629,32
2020-01-06,gaffer2-1.10.4,1.10.4,1,311,1740,7088387,28.948235,21.754108,15,293236,201263,56085,14618,32
2019-11-11,gaffer2-1.10.3,1.10.3,1,311,1740,7081472,28.9375,21.740948,15,293019,201076,56079,14605,32
2019-10-31,gaffer2-1.10.2,1.10.2,1,311,1739,7075777,28.928656,21.730107,15,292763,200922,56025,14597,32
2019-10-15,gaffer2-1.10.1,1.10.1,1,311,1738,7073152,28.924576,21.725108,15,292641,200851,55995,14597,32
2019-09-24,gaffer2-1.10.0,1.10.0,1,311,1737,7064869,28.911701,21.709331,15,292324,200627,55936,14610,32
2019-05-13,gaffer2-1.9.1,1.9.1,1,309,1728,7034886,28.865013,21.652162,15,291071,199816,55696,14557,32
2019-04-15,gaffer2-1.9.0,1.9.0,1,309,1726,7021246,28.843732,21.626123,15,290275,199447,55378,14560,32
2019-03-12,gaffer2-1.8.3,1.8.3,1,307,1706,6916676,28.679732,21.425861,15,286575,196617,55168,14124,32
2019-03-11,gaffer2-1.8.2,1.8.2,1,307,1705,6914681,28.676589,21.42203,15,286489,196563,55151,14124,32
2019-03-07,gaffer2-1.8.1,1.8.1,1,307,1705,6914644,28.67653,21.421959,15,286488,196562,55151,14124,32
2019-02-19,gaffer2-1.8.0,1.8.0,1,309,1709,6885873,28.631131,21.366652,15,285571,195783,55195,14098,32
2018-10-04,gaffer2-1.7.0,1.7.0,1,297,1636,6645148,28.246578,20.900408,15,275011,189259,52484,13824,32
2018-08-13,gaffer2-1.6.0,1.6.0,1,297,1613,6596824,28.168345,20.806044,15,272927,187948,52004,13774,30
