release_tag no_pkgs
cassandra-0.3.0-final 26
cassandra-0.4.0-final 20
cassandra-0.4.1 20
cassandra-0.4.2 20
cassandra-0.5.0 21
cassandra-0.5.1 21
cassandra-0.6.0 32
cassandra-0.6.1 32
cassandra-0.6.10 30
cassandra-0.6.11 30
cassandra-0.6.12 30
cassandra-0.6.13 30
cassandra-0.6.2 32
cassandra-0.6.3 32
cassandra-0.6.4 30
cassandra-0.6.5 30
cassandra-0.6.6 30
cassandra-0.6.7 30
cassandra-0.6.8 30
cassandra-0.6.9 30
cassandra-0.7.0 35
cassandra-0.7.1 39
cassandra-0.7.10 39
cassandra-0.7.2 39
cassandra-0.7.3 39
cassandra-0.7.4 39
cassandra-0.7.5 39
cassandra-0.7.6 39
cassandra-0.7.7 39
cassandra-0.7.8 39
cassandra-0.7.9 39
cassandra-0.8.0 41
cassandra-0.8.1 42
cassandra-0.8.10 42
cassandra-0.8.2 42
cassandra-0.8.3 42
cassandra-0.8.4 42
cassandra-0.8.5 42
cassandra-0.8.6 42
cassandra-0.8.7 42
cassandra-0.8.8 42
cassandra-0.8.9 42
cassandra-1.0.0 46
cassandra-1.0.1 46
cassandra-1.0.10 46
cassandra-1.0.11 46
cassandra-1.0.12 46
cassandra-1.0.2 46
cassandra-1.0.3 46
cassandra-1.0.4 46
cassandra-1.0.5 46
cassandra-1.0.6 46
cassandra-1.0.7 46
cassandra-1.0.8 46
cassandra-1.0.9 46
cassandra-1.1.0 47
cassandra-1.1.1 47
cassandra-1.1.10 47
cassandra-1.1.11 47
cassandra-1.1.12 47
cassandra-1.1.2 47
cassandra-1.1.3 47
cassandra-1.1.4 47
cassandra-1.1.5 47
cassandra-1.1.6 47
cassandra-1.1.7 47
cassandra-1.1.8 47
cassandra-1.1.9 47
cassandra-1.2.0 54
cassandra-1.2.1 54
cassandra-1.2.10 55
cassandra-1.2.11 57
cassandra-1.2.12 57
cassandra-1.2.13 57
cassandra-1.2.14 57
cassandra-1.2.15 57
cassandra-1.2.16 57
cassandra-1.2.17 57
cassandra-1.2.18 57
cassandra-1.2.19 57
cassandra-1.2.2 54
cassandra-1.2.3 54
cassandra-1.2.4 54
cassandra-1.2.5 54
cassandra-1.2.6 55
cassandra-1.2.7 55
cassandra-1.2.8 55
cassandra-1.2.9 55
cassandra-2.0.0 63
cassandra-2.0.1 63
cassandra-2.0.10 66
cassandra-2.0.11 65
cassandra-2.0.12 65
cassandra-2.0.13 65
cassandra-2.0.14 65
cassandra-2.0.15 65
cassandra-2.0.16 65
cassandra-2.0.17 65
cassandra-2.0.2 65
cassandra-2.0.3 67
cassandra-2.0.4 67
cassandra-2.0.5 67
cassandra-2.0.6 67
cassandra-2.0.7 66
cassandra-2.0.8 66
cassandra-2.0.9 66
cassandra-2.1.0 75
cassandra-2.1.1 74
cassandra-2.1.10 77
cassandra-2.1.11 77
cassandra-2.1.12 77
cassandra-2.1.13 77
cassandra-2.1.14 77
cassandra-2.1.15 77
cassandra-2.1.16 77
cassandra-2.1.17 77
cassandra-2.1.18 77
cassandra-2.1.19 77
cassandra-2.1.2 74
cassandra-2.1.20 77
cassandra-2.1.21 77
cassandra-2.1.22 77
cassandra-2.1.3 74
cassandra-2.1.4 74
cassandra-2.1.5 74
cassandra-2.1.6 74
cassandra-2.1.7 74
cassandra-2.1.8 77
cassandra-2.1.9 77
cassandra-2.2.0 84
cassandra-2.2.1 84
cassandra-2.2.10 84
cassandra-2.2.11 85
cassandra-2.2.12 85
cassandra-2.2.13 85
cassandra-2.2.14 86
cassandra-2.2.15 90
cassandra-2.2.16 91
cassandra-2.2.17 90
cassandra-2.2.18 90
cassandra-2.2.19 91
cassandra-2.2.2 84
cassandra-2.2.3 84
cassandra-2.2.4 84
cassandra-2.2.5 84
cassandra-2.2.6 84
cassandra-2.2.7 84
cassandra-2.2.8 84
cassandra-2.2.9 84
cassandra-3.0.0 93
cassandra-3.0.1 93
cassandra-3.0.10 93
cassandra-3.0.11 93
cassandra-3.0.12 93
cassandra-3.0.13 93
cassandra-3.0.14 93
cassandra-3.0.15 94
cassandra-3.0.16 94
cassandra-3.0.17 94
cassandra-3.0.18 95
cassandra-3.0.19 99
cassandra-3.0.2 93
cassandra-3.0.20 100
cassandra-3.0.21 99
cassandra-3.0.22 99
cassandra-3.0.23 100
cassandra-3.0.24 100
cassandra-3.0.3 93
cassandra-3.0.4 93
cassandra-3.0.5 93
cassandra-3.0.6 93
cassandra-3.0.7 93
cassandra-3.0.8 93
cassandra-3.0.9 93
cassandra-3.1 93
cassandra-3.1.1 93
cassandra-3.10 111
cassandra-3.11.0 111
cassandra-3.11.1 112
cassandra-3.11.10 119
cassandra-3.11.2 112
cassandra-3.11.3 113
cassandra-3.11.4 114
cassandra-3.11.5 118
cassandra-3.11.6 119
cassandra-3.11.7 118
cassandra-3.11.8 118
cassandra-3.11.9 119
cassandra-3.2 94
cassandra-3.2.1 94
cassandra-3.3 94
cassandra-3.4 107
cassandra-3.5 107
cassandra-3.6 109
cassandra-3.7 109
cassandra-3.8 109
cassandra-3.9 109
