release_date,release_tag
Mon Feb 1 15:50:01 2021 +0100,cassandra-3.11.10
Mon Feb 1 15:20:22 2021 +0100,cassandra-3.0.24
Wed Nov 4 12:00:09 2020 +0100,cassandra-3.11.9
Wed Nov 4 11:49:20 2020 +0100,cassandra-3.0.23
Wed Nov 4 11:31:14 2020 +0100,cassandra-2.2.19
Mon Aug 31 20:12:19 2020 +0200,cassandra-3.11.8
Mon Aug 31 20:00:28 2020 +0200,cassandra-3.0.22
Mon Aug 31 19:49:00 2020 +0200,cassandra-2.2.18
Mon Aug 31 19:10:08 2020 +0200,cassandra-2.1.22
Wed Jul 29 15:26:44 2020 +0200,cassandra-3.0.21
Fri Jul 24 23:55:10 2020 +0200,cassandra-3.11.7
Fri Jul 24 23:24:43 2020 +0200,cassandra-2.2.17
Fri Feb 14 14:54:51 2020 -0600,cassandra-3.11.6
Fri Feb 14 14:52:40 2020 -0600,cassandra-3.0.20
Fri Feb 14 14:33:58 2020 -0600,cassandra-2.2.16
Tue Oct 29 13:17:11 2019 -0500,cassandra-3.11.5
Tue Oct 29 13:11:11 2019 -0500,cassandra-3.0.19
Tue Oct 29 13:09:35 2019 -0500,cassandra-2.2.15
Mon Feb 11 17:15:39 2019 -0600,cassandra-2.1.21
Mon Feb 11 16:59:09 2019 -0600,cassandra-2.2.14
Mon Feb 11 16:42:53 2019 -0600,cassandra-3.0.18
Mon Feb 11 16:15:18 2019 -0600,cassandra-3.11.4
Mon Jul 30 22:15:02 2018 -0700,cassandra-3.11.3
Mon Jul 30 22:11:04 2018 -0700,cassandra-3.0.17
Mon Jul 30 21:58:35 2018 -0700,cassandra-2.2.13
Mon Feb 19 12:27:39 2018 -0600,cassandra-3.11.2
Mon Feb 19 12:24:01 2018 -0600,cassandra-3.0.16
Fri Feb 16 11:23:07 2018 -0600,cassandra-2.2.12
Fri Feb 16 11:21:07 2018 -0600,cassandra-2.1.20
Tue Oct 10 15:26:12 2017 -0500,cassandra-3.11.1
Tue Oct 10 15:21:21 2017 -0500,cassandra-3.0.15
Thu Oct 5 07:57:18 2017 -0500,cassandra-2.2.11
Thu Oct 5 07:54:43 2017 -0500,cassandra-2.1.19
Mon Jun 26 16:53:20 2017 -0500,cassandra-2.2.10
Mon Jun 26 16:51:39 2017 -0500,cassandra-2.1.18
Fri Jun 23 15:02:37 2017 -0500,cassandra-3.11.0
Fri Jun 23 14:40:53 2017 -0500,cassandra-3.0.14
Fri Apr 14 16:50:43 2017 -0500,cassandra-3.0.13
Fri Mar 10 09:15:56 2017 -0600,cassandra-3.0.12
Tue Feb 21 11:18:06 2017 -0600,cassandra-3.0.11
Tue Feb 21 11:12:49 2017 -0600,cassandra-2.2.9
Tue Feb 21 11:07:07 2017 -0600,cassandra-2.1.17
Fri Feb 3 15:59:56 2017 -0600,cassandra-3.10
Wed Nov 16 09:46:54 2016 -0600,cassandra-3.0.10
Mon Oct 10 12:19:04 2016 -0500,cassandra-2.1.16
Thu Sep 29 15:20:36 2016 -0500,cassandra-3.9
Thu Sep 29 14:34:56 2016 -0500,cassandra-3.8
Tue Sep 27 13:17:02 2016 -0500,cassandra-2.2.8
Mon Sep 19 09:30:51 2016 -0400,cassandra-3.0.9
Tue Jul 5 10:32:13 2016 -0400,cassandra-3.0.8
Tue Jul 5 10:31:09 2016 -0400,cassandra-2.2.7
Tue Jul 5 10:28:53 2016 -0400,cassandra-2.1.15
Mon Jun 13 14:22:12 2016 -0400,cassandra-3.7
Mon Jun 13 14:18:46 2016 -0400,cassandra-3.0.7
Mon Jun 6 12:31:30 2016 -0400,cassandra-3.6
Fri May 13 09:40:08 2016 -0400,cassandra-3.0.6
Mon Apr 25 21:04:24 2016 -0400,cassandra-2.2.6
Mon Apr 25 20:58:03 2016 -0400,cassandra-2.1.14
Wed Apr 13 10:51:51 2016 -0400,cassandra-3.5
Sun Apr 10 21:14:18 2016 -0400,cassandra-3.0.5
