release_tag no_classes
gaffer1-1.3.0 240
gaffer2-0.3.0 417
gaffer2-0.3.1 441
gaffer2-0.3.2 444
gaffer2-0.3.3 460
gaffer2-0.3.4 477
gaffer2-0.3.5 533
gaffer2-0.3.6 546
gaffer2-0.3.7 574
gaffer2-0.3.8 611
gaffer2-0.3.9 637
gaffer2-0.4.0 643
gaffer2-0.4.1 655
gaffer2-0.4.2 728
gaffer2-0.4.3 731
gaffer2-0.4.4 737
gaffer2-0.4.5 715
gaffer2-0.4.6 719
gaffer2-0.4.7 740
gaffer2-0.5.0 750
gaffer2-0.5.1 750
gaffer2-0.6.0 813
gaffer2-0.6.1 850
gaffer2-0.6.2 915
gaffer2-0.6.3 933
gaffer2-0.6.4 946
gaffer2-0.6.5 946
gaffer2-0.6.6 946
gaffer2-0.7.0 904
gaffer2-0.7.1 952
gaffer2-0.7.2 952
gaffer2-0.7.3 956
gaffer2-0.7.4 977
gaffer2-0.7.5 1049
gaffer2-0.7.6 1168
gaffer2-0.7.7 1170
gaffer2-0.7.8 1271
gaffer2-1.0.0 1312
gaffer2-1.0.1 1312
gaffer2-1.0.2 1312
gaffer2-1.1.0 1369
gaffer2-1.1.1 1383
gaffer2-1.1.2 1383
gaffer2-1.10.0 1737
gaffer2-1.10.1 1738
gaffer2-1.10.2 1739
gaffer2-1.10.3 1740
gaffer2-1.10.4 1740
gaffer2-1.10.5 1743
gaffer2-1.11.0 1750
gaffer2-1.12.0 1781
gaffer2-1.13.0 1815
gaffer2-1.13.1 1818
gaffer2-1.13.2 1818
gaffer2-1.13.3 1818
gaffer2-1.13.4 1818
gaffer2-1.14.0 1865
gaffer2-1.15.0 1873
gaffer2-1.16.0 1880
gaffer2-1.2.0 1439
gaffer2-1.3.0 1488
gaffer2-1.4.0 1549
gaffer2-1.4.1 1549
gaffer2-1.5.0 1602
gaffer2-1.5.1 1602
gaffer2-1.5.2 1602
gaffer2-1.6.0 1613
gaffer2-1.7.0 1636
gaffer2-1.8.0 1709
gaffer2-1.8.1 1705
gaffer2-1.8.2 1705
gaffer2-1.8.3 1706
gaffer2-1.9.0 1726
gaffer2-1.9.1 1728
