release_tag cost_usd cost_month cost_people
gaffer1-1.3.0 859555 12.984886 5.881006
gaffer2-0.3.0 1075602 14.139752 6.758123
gaffer2-0.3.1 1166275 14.581374 7.105890
gaffer2-0.3.2 1175541 14.625288 7.140840
gaffer2-0.3.3 1235497 14.904380 7.364508
gaffer2-0.3.4 1284509 15.126355 7.544303
gaffer2-0.3.5 1469585 15.920184 8.200921
gaffer2-0.3.6 1506800 16.072197 8.329068
gaffer2-0.3.7 1586561 16.390328 8.599735
gaffer2-0.3.8 2418074 19.236788 11.167426
gaffer2-0.3.9 2496448 19.471378 11.390477
gaffer2-0.4.0 2507815 19.505020 11.422605
gaffer2-0.4.1 2608393 19.798661 11.704507
gaffer2-0.4.2 2791097 20.314612 12.206252
gaffer2-0.4.3 2878361 20.553664 12.441476
gaffer2-0.4.4 2898628 20.608541 12.495719
gaffer2-0.4.5 2797323 20.331821 12.223127
gaffer2-0.4.6 2815227 20.381174 12.271574
gaffer2-0.4.7 2924008 20.676923 12.563440
gaffer2-0.5.0 3013309 20.914653 12.799970
gaffer2-0.5.1 3012492 20.912499 12.797819
gaffer2-0.6.0 3175163 21.334634 13.221991
gaffer2-0.6.1 3304596 21.661029 13.553621
gaffer2-0.6.2 3498428 22.135320 14.041165
gaffer2-0.6.3 3538380 22.231041 14.140368
gaffer2-0.6.4 3628270 22.443984 14.362025
gaffer2-0.6.5 3628056 22.443479 14.361498
gaffer2-0.6.6 3628056 22.443479 14.361498
gaffer2-0.7.0 3831096 22.912730 14.854642
gaffer2-0.7.1 3973938 23.233685 15.195640
gaffer2-0.7.2 3984696 23.257565 15.221130
gaffer2-0.7.3 3988222 23.265383 15.229479
gaffer2-0.7.4 3971564 23.228409 15.190010
gaffer2-0.7.5 4213259 23.755762 15.756695
gaffer2-0.7.6 4607225 24.576558 16.654604
gaffer2-0.7.7 4615993 24.594320 16.674248
gaffer2-0.7.8 5462721 26.219807 18.509533
gaffer2-1.0.0 5402873 26.110276 18.383543
gaffer2-1.0.1 5403238 26.110947 18.384313
gaffer2-1.0.2 5404223 26.112756 18.386392
gaffer2-1.1.0 5666634 26.587507 18.934920
gaffer2-1.1.1 5747704 26.731415 19.102422
gaffer2-1.1.2 5761801 26.756310 19.131456
gaffer2-1.10.0 7064869 28.911701 21.709331
gaffer2-1.10.1 7073152 28.924576 21.725108
gaffer2-1.10.2 7075777 28.928656 21.730107
gaffer2-1.10.3 7081472 28.937500 21.740948
gaffer2-1.10.4 7088387 28.948235 21.754108
gaffer2-1.10.5 7100591 28.967164 21.777322
gaffer2-1.11.0 7133214 29.017666 21.839302
gaffer2-1.12.0 7239788 29.181653 22.041031
gaffer2-1.13.0 7344251 29.340946 22.237672
gaffer2-1.13.1 7358661 29.362810 22.264715
gaffer2-1.13.2 7358772 29.362978 22.264923
gaffer2-1.13.3 7343288 29.339484 22.235864
gaffer2-1.13.4 7343843 29.340327 22.236907
gaffer2-1.14.0 7507548 29.587165 22.542948
gaffer2-1.15.0 7537995 29.632704 22.599587
gaffer2-1.16.0 7554686 29.657621 22.630599
gaffer2-1.2.0 5909349 27.014636 19.433743
gaffer2-1.3.0 6115556 27.369050 19.851447
gaffer2-1.4.0 6334968 27.738116 20.290064
gaffer2-1.4.1 6334968 27.738116 20.290064
gaffer2-1.5.0 6511570 28.029454 20.638922
gaffer2-1.5.1 6515805 28.036381 20.647245
gaffer2-1.5.2 6516063 28.036802 20.647751
gaffer2-1.6.0 6596824 28.168345 20.806044
gaffer2-1.7.0 6645148 28.246578 20.900408
gaffer2-1.8.0 6885873 28.631131 21.366652
gaffer2-1.8.1 6914644 28.676530 21.421959
gaffer2-1.8.2 6914681 28.676589 21.422030
gaffer2-1.8.3 6916676 28.679732 21.425861
gaffer2-1.9.0 7021246 28.843732 21.626123
gaffer2-1.9.1 7034886 28.865013 21.652162
