release_tag no_pkgs
gaffer1-1.3.0 38
gaffer2-0.3.0 91
gaffer2-0.3.1 90
gaffer2-0.3.2 91
gaffer2-0.3.3 92
gaffer2-0.3.4 96
gaffer2-0.3.5 108
gaffer2-0.3.6 111
gaffer2-0.3.7 113
gaffer2-0.3.8 124
gaffer2-0.3.9 128
gaffer2-0.4.0 127
gaffer2-0.4.1 125
gaffer2-0.4.2 133
gaffer2-0.4.3 133
gaffer2-0.4.4 133
gaffer2-0.4.5 130
gaffer2-0.4.6 130
gaffer2-0.4.7 135
gaffer2-0.5.0 137
gaffer2-0.5.1 137
gaffer2-0.6.0 150
gaffer2-0.6.1 158
gaffer2-0.6.2 179
gaffer2-0.6.3 182
gaffer2-0.6.4 181
gaffer2-0.6.5 181
gaffer2-0.6.6 181
gaffer2-0.7.0 205
gaffer2-0.7.1 213
gaffer2-0.7.2 213
gaffer2-0.7.3 213
gaffer2-0.7.4 216
gaffer2-0.7.5 223
gaffer2-0.7.6 231
gaffer2-0.7.7 231
gaffer2-0.7.8 251
gaffer2-1.0.0 263
gaffer2-1.0.1 263
gaffer2-1.0.2 263
gaffer2-1.1.0 266
gaffer2-1.1.1 267
gaffer2-1.1.2 267
gaffer2-1.10.0 311
gaffer2-1.10.1 311
gaffer2-1.10.2 311
gaffer2-1.10.3 311
gaffer2-1.10.4 311
gaffer2-1.10.5 311
gaffer2-1.11.0 311
gaffer2-1.12.0 312
gaffer2-1.13.0 319
gaffer2-1.13.1 319
gaffer2-1.13.2 319
gaffer2-1.13.3 319
gaffer2-1.13.4 319
gaffer2-1.14.0 326
gaffer2-1.15.0 327
gaffer2-1.16.0 329
gaffer2-1.2.0 278
gaffer2-1.3.0 291
gaffer2-1.4.0 293
gaffer2-1.4.1 293
gaffer2-1.5.0 293
gaffer2-1.5.1 293
gaffer2-1.5.2 293
gaffer2-1.6.0 297
gaffer2-1.7.0 297
gaffer2-1.8.0 309
gaffer2-1.8.1 307
gaffer2-1.8.2 307
gaffer2-1.8.3 307
gaffer2-1.9.0 309
gaffer2-1.9.1 309
