release_date,release_tag
2015-12-16T15:21:06Z,gaffer1-1.3.0
2016-02-02T10:51:03Z,gaffer2-0.3.0
2016-02-22T16:53:05Z,gaffer2-0.3.1
2016-03-03T11:00:51Z,gaffer2-0.3.2
2016-04-13T09:11:05Z,gaffer2-0.3.3
2016-04-28T13:21:54Z,gaffer2-0.3.4
2016-05-16T08:04:44Z,gaffer2-0.3.5
2016-06-02T14:13:35Z,gaffer2-0.3.6
2016-06-20T09:30:32Z,gaffer2-0.3.7
2016-07-06T09:21:11Z,gaffer2-0.3.8
2016-07-20T12:21:58Z,gaffer2-0.3.9
2016-08-02T12:41:31Z,gaffer2-0.4.0
2016-09-05T07:37:57Z,gaffer2-0.4.1
2016-09-19T14:37:16Z,gaffer2-0.4.2
2016-09-29T14:15:41Z,gaffer2-0.4.3
2016-10-12T13:05:10Z,gaffer2-0.4.4
2016-10-14T14:07:32Z,gaffer2-0.4.5
2016-11-03T14:09:04Z,gaffer2-0.4.6
2016-11-23T11:31:44Z,gaffer2-0.4.7
2017-01-04T12:03:57Z,gaffer2-0.5.0
2017-01-04T14:40:10Z,gaffer2-0.5.1
2017-01-19T15:00:29Z,gaffer2-0.6.0
2017-02-08T15:39:36Z,gaffer2-0.6.1
2017-03-08T13:37:56Z,gaffer2-0.6.2
2017-03-15T15:23:47Z,gaffer2-0.6.3
2017-04-03T06:43:12Z,gaffer2-0.6.4
2017-04-03T10:31:42Z,gaffer2-0.6.5
2017-04-03T14:36:17Z,gaffer2-0.6.6
2017-05-05T13:37:30Z,gaffer2-0.7.0
2017-05-17T19:30:26Z,gaffer2-0.7.1
2017-05-22T17:23:50Z,gaffer2-0.7.2
2017-05-23T17:01:29Z,gaffer2-0.7.3
2017-06-13T13:46:18Z,gaffer2-0.7.4
2017-06-28T06:23:02Z,gaffer2-0.7.5
2017-07-12T16:10:31Z,gaffer2-0.7.6
2017-07-14T20:34:05Z,gaffer2-0.7.7
2017-08-14T11:15:45Z,gaffer2-0.7.8
2017-10-11T10:11:44Z,gaffer2-1.0.0
2017-10-12T05:50:04Z,gaffer2-1.0.1
2017-10-12T12:50:01Z,gaffer2-1.0.2
2017-11-08T10:57:12Z,gaffer2-1.1.0
2017-11-21T12:02:19Z,gaffer2-1.1.1
2017-11-27T13:42:36Z,gaffer2-1.1.2
2019-09-24T11:56:52Z,gaffer2-1.10.0
2019-10-15T09:04:21Z,gaffer2-1.10.1
2019-10-31T14:55:55Z,gaffer2-1.10.2
2019-11-11T10:19:30Z,gaffer2-1.10.3
2020-01-06T13:19:54Z,gaffer2-1.10.4
2020-01-15T15:58:07Z,gaffer2-1.10.5
2020-02-20T10:50:54Z,gaffer2-1.11.0
2020-05-13T10:51:42Z,gaffer2-1.12.0
2020-09-10T10:47:44Z,gaffer2-1.13.0
2020-09-23T13:28:37Z,gaffer2-1.13.1
2020-09-23T15:57:14Z,gaffer2-1.13.2
2020-10-20T15:03:38Z,gaffer2-1.13.3
2020-10-23T09:10:25Z,gaffer2-1.13.4
2021-01-14T09:52:06Z,gaffer2-1.14.0
2021-02-02T14:08:57Z,gaffer2-1.15.0
2021-04-06T10:19:08Z,gaffer2-1.16.0
2018-01-03T17:30:17Z,gaffer2-1.2.0
2018-02-02T08:53:37Z,gaffer2-1.3.0
2018-04-04T09:25:17Z,gaffer2-1.4.0
2018-04-04T15:18:01Z,gaffer2-1.4.1
2018-05-25T07:14:54Z,gaffer2-1.5.0
2018-06-07T09:18:07Z,gaffer2-1.5.1
2018-06-07T14:07:54Z,gaffer2-1.5.2
2018-08-13T08:03:23Z,gaffer2-1.6.0
2018-10-04T06:59:33Z,gaffer2-1.7.0
2019-02-19T14:22:40Z,gaffer2-1.8.0
2019-03-07T10:37:14Z,gaffer2-1.8.1
2019-03-11T15:18:53Z,gaffer2-1.8.2
2019-03-12T15:15:07Z,gaffer2-1.8.3
2019-04-15T12:24:09Z,gaffer2-1.9.0
2019-05-13T09:21:36Z,gaffer2-1.9.1
