Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Plain Text,/Users/ropf/case_systems/cassandra/CHANGES.txt,CHANGES.txt,28,23,0,5,0,998
Plain Text,/Users/ropf/case_systems/cassandra/LICENSE.txt,LICENSE.txt,202,169,0,33,0,11357
Plain Text,/Users/ropf/case_systems/cassandra/DISCLAIMER.txt,DISCLAIMER.txt,10,8,0,2,0,544
XML,/Users/ropf/case_systems/cassandra/build.xml,build.xml,289,218,43,28,0,11322
Plain Text,/Users/ropf/case_systems/cassandra/NOTICE.txt,NOTICE.txt,10,8,0,2,0,384
Plain Text,/Users/ropf/case_systems/cassandra/BUGS.txt,BUGS.txt,50,35,0,15,0,2122
Plain Text,/Users/ropf/case_systems/cassandra/README.txt,README.txt,95,67,0,28,0,3391
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/IResponseResolver.java,IResponseResolver.java,42,7,28,7,0,1655
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/WriteResponseResolver.java,WriteResponseResolver.java,76,37,30,9,2,2754
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/ReadResponseResolver.java,ReadResponseResolver.java,176,118,47,11,14,6312
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/analytics/DBAnalyticsSource.java,DBAnalyticsSource.java,182,100,59,23,12,7207
Properties File,/Users/ropf/case_systems/cassandra/conf/log4j.properties,log4j.properties,38,8,25,5,0,1702
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/ConsistencyManager.java,ConsistencyManager.java,180,142,18,20,6,6378
XML,/Users/ropf/case_systems/cassandra/conf/storage-conf.xml,storage-conf.xml,137,44,76,17,0,6415
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/StreamManager.java,StreamManager.java,159,119,21,19,6,5620
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/StorageServiceMBean.java,StorageServiceMBean.java,61,11,42,8,0,2193
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/service/DigestMismatchException.java,DigestMismatchException.java,30,8,20,2,0,1112
