Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Markdown,/Users/ropf/case_systems/cassandra/guide_8099.md,guide_8099.md,376,316,0,60,0,21289
Plain Text,/Users/ropf/case_systems/cassandra/LICENSE.txt,LICENSE.txt,209,174,0,35,0,11609
XML,/Users/ropf/case_systems/cassandra/build.xml,build.xml,1933,1627,153,153,0,92175
Plain Text,/Users/ropf/case_systems/cassandra/NOTICE.txt,NOTICE.txt,85,64,0,21,0,2730
Properties File,/Users/ropf/case_systems/cassandra/eclipse_compiler.properties,eclipse_compiler.properties,88,79,6,3,0,5895
Plain Text,/Users/ropf/case_systems/cassandra/CHANGES.txt,CHANGES.txt,5303,5050,0,253,0,302229
Markdown,/Users/ropf/case_systems/cassandra/CONTRIBUTING.md,CONTRIBUTING.md,17,12,0,5,0,1285
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/MemtableRenewedNotification.java,MemtableRenewedNotification.java,30,10,17,3,0,1100
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableAddedNotification.java,SSTableAddedNotification.java,29,10,17,2,0,1135
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/MemtableSwitchedNotification.java,MemtableSwitchedNotification.java,30,10,17,3,0,1106
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/SnapshotTask.java,SnapshotTask.java,82,42,29,11,0,2633
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairSessionResult.java,RepairSessionResult.java,43,19,20,4,0,1526
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairMessageVerbHandler.java,RepairMessageVerbHandler.java,188,149,26,13,20,10118
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RemoteSyncTask.java,RemoteSyncTask.java,70,40,23,7,1,2632
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/SyncTask.java,SyncTask.java,84,44,27,13,1,3109
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairJob.java,RepairJob.java,281,199,61,21,16,12712
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/INotification.java,INotification.java,30,4,24,2,0,1043
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairRunnable.java,RepairRunnable.java,420,349,30,41,31,20334
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/INotificationConsumer.java,INotificationConsumer.java,23,5,17,1,0,966
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableRepairStatusChanged.java,SSTableRepairStatusChanged.java,33,11,18,4,0,1208
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/MemtableDiscardedNotification.java,MemtableDiscardedNotification.java,30,10,17,3,0,1110
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableListChangedNotification.java,SSTableListChangedNotification.java,37,16,17,4,0,1481
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/TruncationNotification.java,TruncationNotification.java,32,9,21,2,0,1189
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/notifications/SSTableDeletingNotification.java,SSTableDeletingNotification.java,33,10,20,3,0,1185
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/LocalSyncTask.java,LocalSyncTask.java,123,84,27,12,6,5514
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairParallelism.java,RepairParallelism.java,57,30,19,8,3,1228
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hints/HintResponse.java,HintResponse.java,58,30,21,7,0,1964
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hints/ChecksummedDataInput.java,ChecksummedDataInput.java,170,114,30,26,9,4776
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hints/HintsReader.java,HintsReader.java,324,226,42,56,20,10034
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hints/HintVerbHandler.java,HintVerbHandler.java,101,56,35,10,5,4197
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hints/CompressedChecksummedDataInput.java,CompressedChecksummedDataInput.java,135,95,21,19,12,4620
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hints/LegacyHintsMigrator.java,LegacyHintsMigrator.java,243,178,32,33,13,9767
Plain Text,/Users/ropf/case_systems/cassandra/NEWS.txt,NEWS.txt,2063,1742,0,321,0,89671
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/Validator.java,Validator.java,279,189,57,33,19,9690
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/SyncStat.java,SyncStat.java,33,11,20,2,0,1159
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/RepairJobDesc.java,RepairJobDesc.java,157,115,24,18,34,6134
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hints/HintsWriter.java,HintsWriter.java,295,202,50,43,10,9704
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/repair/SystemDistributedKeyspace.java,SystemDistributedKeyspace.java,217,172,17,28,5,9191
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hints/HintsBufferPool.java,HintsBufferPool.java,132,86,28,18,15,4244
Java,/Users/ropf/case_systems/cassandra/src/java/org/apache/cassandra/hints/HintsWriteExecutor.java,HintsWriteExecutor.java,235,164,38,33,5,7106
