Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
License,/Users/ropf/case_systems/gaffer/LICENSE,LICENSE,202,169,0,33,0,11358
XML,/Users/ropf/case_systems/gaffer/findbugs-exclude.xml,findbugs-exclude.xml,21,6,15,0,0,751
Markdown,/Users/ropf/case_systems/gaffer/README.md,README.md,82,55,0,27,0,3813
XML,/Users/ropf/case_systems/gaffer/pom.xml,pom.xml,956,909,24,23,0,40835
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/main/java/uk/gov/gchq/gaffer/proxystore/ProxyProperties.java,ProxyProperties.java,164,120,15,29,7,5714
gitignore,/Users/ropf/case_systems/gaffer/.gitignore,.gitignore,28,15,12,1,0,717
YAML,/Users/ropf/case_systems/gaffer/.travis.yml,.travis.yml,24,24,0,0,0,3216
Java,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/src/main/java/uk/gov/gchq/gaffer/accumulostore/AccumuloStore.java,AccumuloStore.java,349,260,68,21,14,17904
Java,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/src/main/java/uk/gov/gchq/gaffer/accumulostore/SingleUseMockAccumuloStore.java,SingleUseMockAccumuloStore.java,48,19,25,4,0,2146
Java,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/src/main/java/uk/gov/gchq/gaffer/accumulostore/SingleUseAccumuloStore.java,SingleUseAccumuloStore.java,46,19,23,4,0,1874
Java,/Users/ropf/case_systems/gaffer/store-implementation/accumulo-store/src/main/java/uk/gov/gchq/gaffer/accumulostore/MockAccumuloStore.java,MockAccumuloStore.java,89,58,19,12,1,3374
Markdown,/Users/ropf/case_systems/gaffer/store-implementation/map-store/README.md,README.md,31,20,0,11,0,1767
Properties File,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/resources/proxy-store.properties,proxy-store.properties,20,5,15,0,0,787
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/main/java/uk/gov/gchq/gaffer/proxystore/ProxyStore.java,ProxyStore.java,306,248,17,41,11,12430
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/java/uk/gov/gchq/gaffer/proxystore/SingleUseMockAccumuloProxyStore.java,SingleUseMockAccumuloProxyStore.java,69,36,26,7,0,2870
Java,/Users/ropf/case_systems/gaffer/store-implementation/proxy-store/src/test/java/uk/gov/gchq/gaffer/proxystore/integration/ProxyStoreITs.java,ProxyStoreITs.java,37,17,15,5,0,1360
